epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,86.6083,4.39806,13.185,3.62873,0.02336,0.01926,0.01347,0.00412,3.47426,9.3916,2.71796,0.0700371,0.00332921,0.00332921
2,169.673,2.94699,9.05312,2.20231,0.05749,0.11143,0.06207,0.02618,2.56641,7.53994,1.82613,0.0400041,0.00662957,0.00662957
3,253.996,2.48232,7.61959,1.78698,0.22681,0.12721,0.08093,0.03779,2.26482,6.54812,1.63838,0.00993812,0.00989692,0.00989692
4,340.166,2.28947,6.87727,1.63574,0.15256,0.14519,0.10619,0.05217,2.09962,5.84937,1.54372,0.0098515,0.0098515,0.0098515
5,420.971,2.16401,6.29771,1.54383,0.27926,0.15813,0.12411,0.06292,2.02883,5.62909,1.46624,0.009802,0.009802,0.009802
6,502.511,2.0646,5.89969,1.48511,0.19644,0.1944,0.14016,0.07144,1.96362,5.37621,1.416,0.0097525,0.0097525,0.0097525
7,583.087,2.00482,5.63617,1.44489,0.23568,0.19842,0.16061,0.08184,1.90835,5.09569,1.41604,0.009703,0.009703,0.009703
8,671.325,1.9487,5.41087,1.41311,0.23744,0.2122,0.17306,0.08972,1.84834,4.78318,1.37511,0.0096535,0.0096535,0.0096535
9,753.946,1.91504,5.22626,1.38483,0.26815,0.23079,0.19393,0.10135,1.81121,4.66536,1.34612,0.009604,0.009604,0.009604
10,833.879,1.8845,5.0897,1.3715,0.29464,0.23246,0.20489,0.10691,1.77793,4.65933,1.32605,0.0095545,0.0095545,0.0095545
11,919.575,1.8553,4.98775,1.35302,0.28085,0.2332,0.19953,0.10707,1.76532,4.59687,1.30929,0.009505,0.009505,0.009505
12,999.483,1.84076,4.87717,1.33258,0.29708,0.24299,0.22231,0.11756,1.75574,4.43678,1.30652,0.0094555,0.0094555,0.0094555
13,1079.29,1.82654,4.82107,1.33021,0.31826,0.25509,0.23122,0.12538,1.70976,4.33768,1.28204,0.009406,0.009406,0.009406
14,1165.67,1.79509,4.6827,1.30951,0.36499,0.24412,0.24077,0.13035,1.69384,4.31095,1.26976,0.0093565,0.0093565,0.0093565
15,1251.06,1.78615,4.6247,1.30066,0.34435,0.26454,0.249,0.13532,1.68426,4.19423,1.26218,0.009307,0.009307,0.009307
16,1336.29,1.7636,4.55978,1.29203,0.34553,0.25912,0.24748,0.13508,1.67314,4.2316,1.25396,0.0092575,0.0092575,0.0092575
17,1416.79,1.75772,4.50371,1.28323,0.352,0.27618,0.25786,0.13968,1.67653,4.10771,1.26023,0.009208,0.009208,0.009208
18,1501.12,1.74697,4.46792,1.27228,0.35214,0.27555,0.26196,0.14283,1.66299,4.12015,1.24401,0.0091585,0.0091585,0.0091585
19,1581.47,1.72958,4.40343,1.26829,0.36735,0.27548,0.26636,0.14614,1.64548,4.07851,1.23864,0.009109,0.009109,0.009109
20,1668.58,1.72315,4.35667,1.26426,0.34081,0.28435,0.26275,0.14585,1.63484,4.07037,1.22206,0.0090595,0.0090595,0.0090595
21,1751.44,1.71513,4.32905,1.25307,0.36012,0.27729,0.26333,0.14616,1.64925,4.08736,1.22713,0.00901,0.00901,0.00901
22,1835.66,1.71557,4.31636,1.25291,0.38047,0.28074,0.27647,0.15368,1.61526,4.01977,1.21344,0.0089605,0.0089605,0.0089605
23,1916.52,1.70745,4.28393,1.24284,0.37242,0.28838,0.27421,0.15337,1.61629,3.96924,1.20696,0.008911,0.008911,0.008911
24,1998.98,1.70133,4.26542,1.2358,0.3843,0.29052,0.27949,0.15563,1.62669,3.98578,1.21251,0.0088615,0.0088615,0.0088615
25,2087.9,1.69989,4.23616,1.22799,0.38528,0.29722,0.2861,0.15869,1.60852,3.94112,1.20101,0.008812,0.008812,0.008812
26,2173.01,1.6917,4.21443,1.22717,0.38411,0.29106,0.28311,0.15948,1.61579,4.01013,1.19356,0.0087625,0.0087625,0.0087625
27,2253.71,1.68157,4.17826,1.22068,0.37512,0.30174,0.28399,0.16045,1.61259,3.97671,1.19035,0.008713,0.008713,0.008713
28,2337.19,1.68286,4.13863,1.21314,0.3925,0.29185,0.28731,0.16331,1.59608,3.9256,1.18527,0.0086635,0.0086635,0.0086635
29,2417.77,1.68028,4.14485,1.21176,0.39974,0.30737,0.29727,0.16778,1.588,3.87822,1.17774,0.008614,0.008614,0.008614
30,2504.28,1.65991,4.08895,1.20521,0.40842,0.30197,0.29789,0.16831,1.58283,3.86012,1.17728,0.0085645,0.0085645,0.0085645
31,2590.83,1.67033,4.10724,1.20421,0.38502,0.31195,0.30013,0.16869,1.58858,3.86361,1.17691,0.008515,0.008515,0.008515
32,2671.78,1.66097,4.06831,1.1938,0.40059,0.30909,0.30094,0.17094,1.57358,3.84,1.16705,0.0084655,0.0084655,0.0084655
33,2755.77,1.65636,4.04807,1.19365,0.41287,0.30761,0.30554,0.1737,1.5749,3.80573,1.16384,0.008416,0.008416,0.008416
34,2843.68,1.65938,4.04421,1.19504,0.40317,0.30875,0.3041,0.17495,1.56811,3.81032,1.16325,0.0083665,0.0083665,0.0083665
35,2926.79,1.64084,3.99605,1.18635,0.4065,0.31361,0.30695,0.17468,1.5685,3.78749,1.16698,0.008317,0.008317,0.008317
36,3015.79,1.64036,3.97448,1.1864,0.41282,0.31443,0.30931,0.17525,1.55875,3.75578,1.15846,0.0082675,0.0082675,0.0082675
37,3102.92,1.63664,3.9693,1.18141,0.41826,0.31962,0.31426,0.17976,1.56123,3.75469,1.15794,0.008218,0.008218,0.008218
38,3189.67,1.62554,3.93066,1.17809,0.42937,0.31907,0.31685,0.18239,1.54917,3.73461,1.15,0.0081685,0.0081685,0.0081685
39,3277.01,1.63174,3.94537,1.18087,0.42473,0.31845,0.31656,0.18003,1.55294,3.74378,1.15337,0.008119,0.008119,0.008119
40,3365.29,1.61932,3.89769,1.17248,0.42058,0.31943,0.31756,0.18203,1.54682,3.72529,1.1477,0.0080695,0.0080695,0.0080695
41,3452.41,1.62312,3.88689,1.17203,0.42823,0.32491,0.32168,0.18333,1.54335,3.69605,1.14563,0.00802,0.00802,0.00802
42,3539.31,1.61569,3.86928,1.1686,0.42439,0.31985,0.32054,0.18406,1.5426,3.70968,1.14177,0.0079705,0.0079705,0.0079705
43,3626.21,1.61452,3.86892,1.16989,0.40902,0.33494,0.32359,0.18662,1.53672,3.69084,1.14193,0.007921,0.007921,0.007921
44,3714.09,1.61926,3.87491,1.16859,0.42794,0.32785,0.32599,0.18739,1.5347,3.67401,1.13959,0.0078715,0.0078715,0.0078715
45,3798.23,1.61115,3.84505,1.16649,0.4281,0.33236,0.33015,0.18982,1.53564,3.66028,1.14003,0.007822,0.007822,0.007822
46,3887.98,1.60641,3.81717,1.16222,0.43557,0.33328,0.33142,0.19124,1.52519,3.63501,1.13335,0.0077725,0.0077725,0.0077725
47,3968.65,1.60158,3.81093,1.16123,0.43241,0.32657,0.32757,0.18864,1.52692,3.65239,1.13558,0.007723,0.007723,0.007723
48,4050.19,1.5998,3.80301,1.15861,0.42982,0.3375,0.33297,0.19157,1.51859,3.62387,1.13029,0.0076735,0.0076735,0.0076735
49,4131.05,1.58941,3.76297,1.1516,0.43379,0.3362,0.33076,0.1908,1.51929,3.62428,1.1311,0.007624,0.007624,0.007624
50,4217.64,1.5931,3.77891,1.15362,0.43221,0.33945,0.3361,0.19378,1.5165,3.59486,1.12882,0.0075745,0.0075745,0.0075745
51,4304.91,1.58598,3.75921,1.15045,0.4416,0.33756,0.33813,0.19561,1.50948,3.58676,1.12554,0.007525,0.007525,0.007525
52,4392.49,1.58652,3.74048,1.14784,0.43428,0.33841,0.33718,0.1941,1.51796,3.58814,1.12638,0.0074755,0.0074755,0.0074755
53,4481.93,1.57946,3.71703,1.14517,0.44559,0.3338,0.33743,0.19491,1.50987,3.5878,1.12426,0.007426,0.007426,0.007426
54,4567.98,1.58,3.7113,1.14523,0.45552,0.33477,0.34367,0.19852,1.51375,3.57619,1.1227,0.0073765,0.0073765,0.0073765
55,4648.58,1.57704,3.7168,1.14448,0.43763,0.33744,0.33895,0.196,1.50995,3.57441,1.12193,0.007327,0.007327,0.007327
56,4727.4,1.57733,3.70087,1.14491,0.44292,0.34421,0.34287,0.19804,1.50623,3.56626,1.12075,0.0072775,0.0072775,0.0072775
57,4816.31,1.5747,3.69012,1.14239,0.46121,0.33928,0.34547,0.20097,1.50074,3.54611,1.11895,0.007228,0.007228,0.007228
58,4904.21,1.58113,3.69772,1.14302,0.45146,0.34352,0.34607,0.20069,1.4993,3.53871,1.11598,0.0071785,0.0071785,0.0071785
59,4993.04,1.58032,3.67481,1.14125,0.44819,0.34474,0.34415,0.20002,1.49296,3.52789,1.11414,0.007129,0.007129,0.007129
60,5076.26,1.56814,3.66726,1.13897,0.4456,0.34381,0.3469,0.20091,1.49663,3.53124,1.11457,0.0070795,0.0070795,0.0070795
61,5165.18,1.56529,3.64427,1.13594,0.45904,0.33875,0.34522,0.19985,1.49317,3.52273,1.11277,0.00703,0.00703,0.00703
62,5252.26,1.55726,3.63867,1.13665,0.45359,0.34753,0.34975,0.20249,1.4926,3.51863,1.11304,0.0069805,0.0069805,0.0069805
