epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,749.628,3.60879,16.9916,4.26619,0.00199,0.05868,0.00188,0.00053,nan,nan,nan,0.0700128,0.00333191,0.00333191
2,1462.54,2.80867,11.7825,2.98312,0.51018,0.15246,0.13339,0.0624,2.30312,7.92287,2.49717,0.0399798,0.00663225,0.00663225
3,2184.09,2.20495,8.19566,2.2947,0.33363,0.26182,0.23081,0.11811,1.91536,inf,2.06268,0.0099138,0.00989959,0.00989959
4,2874.01,1.9014,6.59316,1.97103,0.5067,0.37838,0.37332,0.20745,1.69086,5.37399,1.82869,0.0098515,0.0098515,0.0098515
5,3583.55,1.74773,5.62489,1.80038,0.5293,0.46467,0.45183,0.25236,1.64251,4.55588,1.72839,0.009802,0.009802,0.009802
6,4280.55,1.66165,5.057,1.70752,0.57369,0.52276,0.51673,0.29842,1.54879,4.05478,1.63722,0.0097525,0.0097525,0.0097525
7,4975.27,1.59911,4.64924,1.64825,0.64787,0.53805,0.56005,0.33113,1.4979,3.77748,1.59945,0.009703,0.009703,0.009703
8,5673.8,1.55328,4.35645,1.60228,0.6804,0.56932,0.60113,0.35857,1.42906,3.50768,1.5287,0.0096535,0.0096535,0.0096535
9,6363.8,1.51789,4.11838,1.56612,0.67759,0.59916,0.62545,0.37972,1.39428,3.32913,1.50378,0.009604,0.009604,0.009604
10,7056.4,1.48796,3.94059,1.5453,0.6939,0.6274,0.65251,0.40883,1.36727,3.1681,1.47365,0.0095545,0.0095545,0.0095545
11,7757.33,1.46177,3.76106,1.51318,0.72574,0.65067,0.68113,0.42359,1.37212,3.01257,1.46292,0.009505,0.009505,0.009505
12,8437.69,1.44388,3.68561,1.4993,0.751,0.65771,0.69748,0.4428,1.33523,2.93451,1.44097,0.0094555,0.0094555,0.0094555
13,9132.25,1.43246,3.58686,1.4815,0.7571,0.66197,0.72078,0.46256,1.31931,2.80769,1.41936,0.009406,0.009406,0.009406
14,9840.77,1.41126,3.48624,1.47,0.76247,0.69198,0.73262,0.47405,1.30027,2.75348,1.40582,0.0093565,0.0093565,0.0093565
15,10527.7,1.39257,3.406,1.45207,0.7689,0.68782,0.73066,0.47965,1.29753,2.7227,1.39879,0.009307,0.009307,0.009307
16,11235.3,1.3809,3.3655,1.44436,0.79513,0.69758,0.75647,0.49485,1.2786,2.64522,1.38168,0.0092575,0.0092575,0.0092575
17,11928.2,1.37107,3.26935,1.43138,0.78297,0.71179,0.75697,0.5004,1.27601,2.56998,1.37451,0.009208,0.009208,0.009208
18,12623,1.36592,3.21641,1.41823,0.80722,0.70773,0.76861,0.51324,1.25043,2.52872,1.3574,0.0091585,0.0091585,0.0091585
19,13314.1,1.34407,3.16115,1.41025,0.80992,0.71965,0.78001,0.52152,1.25137,2.48369,1.3516,0.009109,0.009109,0.009109
20,14004.3,1.33826,3.09866,1.40347,0.81434,0.72789,0.78709,0.52911,1.23298,2.43608,1.33929,0.0090595,0.0090595,0.0090595
21,14690.9,1.33323,3.08731,1.39562,0.80129,0.73282,0.7938,0.53471,1.2219,2.39729,1.33142,0.00901,0.00901,0.00901
22,15388.2,1.31542,3.04311,1.38991,0.81448,0.73838,0.79837,0.54012,1.2162,2.36888,1.32683,0.0089605,0.0089605,0.0089605
23,16095.9,1.31983,3.01278,1.3877,0.83112,0.74887,0.80609,0.5495,1.21152,2.32731,1.31815,0.008911,0.008911,0.008911
24,16787.9,1.31382,2.97915,1.37844,0.82795,0.7425,0.80866,0.55149,1.20461,2.29887,1.3129,0.0088615,0.0088615,0.0088615
25,17472.3,1.30592,2.94462,1.37513,0.82913,0.75903,0.81368,0.55511,1.19788,2.28594,1.30775,0.008812,0.008812,0.008812
26,18164.9,1.30064,2.93275,1.37435,0.83955,0.74924,0.81356,0.56269,1.18578,2.25705,1.30201,0.0087625,0.0087625,0.0087625
27,18882.2,1.29209,2.88405,1.36613,0.83312,0.75207,0.81786,0.56596,1.18943,2.22772,1.29864,0.008713,0.008713,0.008713
28,19569.8,1.28683,2.86348,1.36282,0.83856,0.75896,0.82415,0.56828,1.17903,2.22106,1.29246,0.0086635,0.0086635,0.0086635
29,20258.9,1.28855,2.85512,1.35813,0.83668,0.76183,0.82289,0.57213,1.1774,2.19619,1.29,0.008614,0.008614,0.008614
30,20953.6,1.27771,2.80768,1.35061,0.85966,0.76463,0.83218,0.57712,1.17396,2.16794,1.28723,0.0085645,0.0085645,0.0085645
31,21645.7,1.27047,2.78981,1.34898,0.85336,0.76873,0.83436,0.58158,1.16355,2.16176,1.28156,0.008515,0.008515,0.008515
32,22333.1,1.26839,2.76641,1.34287,0.85694,0.7752,0.83629,0.58304,1.16244,2.14498,1.27846,0.0084655,0.0084655,0.0084655
33,23033.7,1.25659,2.75674,1.34417,0.85104,0.77436,0.83506,0.58573,1.1571,2.13621,1.27534,0.008416,0.008416,0.008416
34,23731.7,1.26348,2.7377,1.33737,0.85024,0.78042,0.83837,0.58721,1.15569,2.11981,1.27271,0.0083665,0.0083665,0.0083665
35,24437.6,1.25573,2.70786,1.33124,0.86503,0.77507,0.84173,0.59102,1.15442,2.11141,1.26887,0.008317,0.008317,0.008317
36,25135.2,1.24821,2.68292,1.32902,0.85601,0.77781,0.8426,0.59248,1.14725,2.09879,1.26388,0.0082675,0.0082675,0.0082675
37,25828.5,1.24648,2.67094,1.32405,0.85056,0.78225,0.84436,0.59521,1.14835,2.09119,1.26386,0.008218,0.008218,0.008218
38,26523.1,1.24191,2.6485,1.32531,0.85297,0.78195,0.84492,0.59681,1.14781,2.07758,1.26099,0.0081685,0.0081685,0.0081685
39,27213.5,1.24392,2.64712,1.32174,0.85354,0.789,0.84764,0.59979,1.14693,2.06861,1.26006,0.008119,0.008119,0.008119
40,27926.8,1.24046,2.64262,1.31967,0.85457,0.78868,0.84764,0.59967,1.14699,2.06225,1.25884,0.0080695,0.0080695,0.0080695
