epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.0273,3.53699,15.6028,4.23311,0.00022,0.09483,0.00021,5e-05,3.22385,14.2588,4.14431,0.0703191,0.00329787,0.00329787
2,62.6036,3.61442,15.1153,4.19009,0.00039,0.16567,0.00046,0.00012,3.22312,112.308,4.29721,0.0402863,0.00659838,0.00659838
3,91.9861,3.57959,14.5573,4.15263,0.00114,0.0826,0.00078,0.00021,nan,nan,nan,0.0102205,0.00986589,0.00986589
4,122.556,3.31718,12.8446,4.0271,0.50318,0.02958,0.00137,0.00051,nan,nan,nan,0.0098515,0.0098515,0.0098515
5,151.303,2.86037,11.3027,3.55166,0.02341,0.17966,0.01656,0.00568,nan,nan,nan,0.009802,0.009802,0.009802
6,179.858,2.60645,10.0689,3.22642,0.66539,0.24552,0.13528,0.06117,nan,nan,nan,0.0097525,0.0097525,0.0097525
7,207.896,2.42068,8.67428,2.88339,0.70109,0.19545,0.16283,0.06931,nan,nan,nan,0.009703,0.009703,0.009703
8,237.465,2.24075,7.62793,2.65506,0.72295,0.31303,0.27221,0.11579,2.09937,10.6015,2.81467,0.0096535,0.0096535,0.0096535
9,266.996,2.18133,7.04263,2.55802,0.23321,0.26,0.23981,0.10497,2.04512,21.9837,2.76153,0.009604,0.009604,0.009604
10,296.834,2.16186,6.57955,2.50663,0.85524,0.24219,0.32155,0.15053,1.92863,6.88255,2.6416,0.0095545,0.0095545,0.0095545
11,326.741,2.0907,6.32152,2.44167,0.89398,0.31257,0.37491,0.17502,1.94417,6.86783,2.5942,0.009505,0.009505,0.009505
12,355.432,2.01453,5.65277,2.31108,0.52994,0.40184,0.40149,0.207,1.8613,5.96703,2.46525,0.0094555,0.0094555,0.0094555
13,384.642,1.94192,5.36959,2.26092,0.77238,0.44829,0.48705,0.23148,1.90758,5.32235,2.45734,0.009406,0.009406,0.009406
14,412.956,1.94691,5.05478,2.22862,0.8151,0.41719,0.49603,0.24702,1.86649,4.9445,2.38612,0.0093565,0.0093565,0.0093565
15,442.248,1.89314,4.70026,2.13857,0.57587,0.43676,0.48886,0.25807,1.77879,5.0952,2.31708,0.009307,0.009307,0.009307
