epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,276.847,4.68454,15.1499,4.13182,0.00466,0.00328,0.00095,0.00024,nan,nan,nan,0.0700371,0.00332921,0.00332921
2,537.922,3.34202,10.111,2.64307,0.1607,0.09529,0.04802,0.0181,2.71082,9.78227,1.94792,0.0400041,0.00662957,0.00662957
3,791.305,2.54047,7.75669,1.86457,0.27643,0.09506,0.06465,0.02931,2.4746,6.97094,1.77774,0.00993812,0.00989692,0.00989692
4,1043.82,2.27654,6.8417,1.65541,0.14774,0.14777,0.11214,0.0547,2.06485,5.66341,1.54522,0.0098515,0.0098515,0.0098515
5,1288.85,2.13613,6.13569,1.54993,0.2942,0.16732,0.13609,0.06875,2.00517,5.29771,1.47306,0.009802,0.009802,0.009802
6,1536.91,2.03084,5.69877,1.48788,0.21099,0.1897,0.15084,0.07687,1.94935,5.10734,1.43279,0.0097525,0.0097525,0.0097525
7,1782.97,1.96687,5.40737,1.44641,0.25209,0.21406,0.17329,0.09004,1.86408,4.78577,1.4098,0.009703,0.009703,0.009703
8,2034.45,1.90996,5.16367,1.41555,0.27212,0.21666,0.18966,0.10051,1.77995,4.5355,1.35589,0.0096535,0.0096535,0.0096535
9,2283.69,1.87335,4.98015,1.38688,0.28867,0.23713,0.20766,0.11018,1.76099,4.39763,1.33934,0.009604,0.009604,0.009604
10,2527.93,1.83746,4.83005,1.37198,0.28625,0.23293,0.21253,0.11354,1.73353,4.43312,1.32626,0.0095545,0.0095545,0.0095545
11,2778.35,1.81013,4.72572,1.35535,0.29588,0.24607,0.21334,0.11445,1.72736,4.35278,1.31578,0.009505,0.009505,0.009505
12,3022.06,1.79182,4.60869,1.33608,0.33111,0.25499,0.23705,0.12695,1.71127,4.23323,1.30673,0.0094555,0.0094555,0.0094555
13,3265.39,1.77549,4.53835,1.33117,0.3266,0.26296,0.24192,0.13381,1.68232,4.14121,1.28781,0.009406,0.009406,0.009406
14,3517.36,1.74437,4.41663,1.31067,0.36069,0.26479,0.26026,0.14393,1.64642,4.0411,1.27445,0.0093565,0.0093565,0.0093565
15,3768.95,1.73465,4.3575,1.30243,0.35815,0.28797,0.27193,0.15043,1.63492,3.95252,1.26671,0.009307,0.009307,0.009307
16,4021.01,1.71197,4.2901,1.29451,0.36729,0.28349,0.27277,0.14975,1.63296,3.91451,1.26116,0.0092575,0.0092575,0.0092575
17,4264.83,1.70477,4.23239,1.28613,0.37302,0.28913,0.28468,0.1576,1.61501,3.87028,1.25809,0.009208,0.009208,0.009208
18,4516.72,1.69304,4.185,1.27526,0.37176,0.30348,0.28725,0.16056,1.59295,3.84718,1.24354,0.0091585,0.0091585,0.0091585
19,4761.46,1.67424,4.12452,1.27223,0.38985,0.30197,0.29545,0.16403,1.58947,3.79747,1.24235,0.009109,0.009109,0.009109
20,5012.57,1.65857,4.05114,1.26617,0.40873,0.2993,0.29639,0.16785,1.5716,3.76797,1.2294,0.0090595,0.0090595,0.0090595
21,5258.9,1.65113,4.02737,1.25667,0.38653,0.31788,0.30213,0.16994,1.56783,3.72797,1.22897,0.00901,0.00901,0.00901
22,5511.62,1.6463,3.98928,1.25634,0.39104,0.32002,0.30812,0.17316,1.55127,3.69186,1.22235,0.0089605,0.0089605,0.0089605
23,5756.9,1.6347,3.95271,1.25019,0.40067,0.31873,0.31189,0.17562,1.54294,3.64615,1.21396,0.008911,0.008911,0.008911
24,6003.5,1.62726,3.9228,1.24348,0.42742,0.31501,0.3165,0.17928,1.53545,3.62275,1.21141,0.0088615,0.0088615,0.0088615
25,6254.8,1.62262,3.89059,1.23665,0.41886,0.32235,0.31856,0.18229,1.5279,3.59582,1.20842,0.008812,0.008812,0.008812
26,6511.48,1.61105,3.85711,1.2371,0.4197,0.32361,0.31823,0.18274,1.5194,3.60831,1.20064,0.0087625,0.0087625,0.0087625
27,6769.08,1.60221,3.81425,1.23182,0.41388,0.32983,0.32151,0.18417,1.51196,3.5611,1.19602,0.008713,0.008713,0.008713
28,7031.17,1.60073,3.78047,1.2232,0.43921,0.31796,0.32134,0.18423,1.50926,3.56044,1.1956,0.0086635,0.0086635,0.0086635
29,7286.35,1.60055,3.79312,1.22478,0.42628,0.34107,0.3347,0.19104,1.50547,3.5334,1.19023,0.008614,0.008614,0.008614
30,7545.78,1.58398,3.7405,1.21862,0.45175,0.32686,0.33147,0.1891,1.50743,3.54244,1.19047,0.0085645,0.0085645,0.0085645
31,7805.36,1.59886,3.77381,1.21921,0.43037,0.33903,0.3361,0.192,1.5145,3.55304,1.18846,0.008515,0.008515,0.008515
32,8062.7,1.59325,3.75162,1.20896,0.43261,0.33879,0.33804,0.19485,1.50794,3.54252,1.18217,0.0084655,0.0084655,0.0084655
33,8319.94,1.59132,3.73179,1.20824,0.44548,0.33963,0.34359,0.19797,1.50939,3.52905,1.17689,0.008416,0.008416,0.008416
34,8577.69,1.5938,3.72796,1.20689,0.44356,0.34115,0.34448,0.20043,1.4961,3.50229,1.17233,0.0083665,0.0083665,0.0083665
35,8837.5,1.57945,3.7012,1.19991,0.45617,0.34703,0.3504,0.20126,1.50354,3.49867,1.17435,0.008317,0.008317,0.008317
36,9096.53,1.57975,3.68283,1.19802,0.44294,0.34577,0.34618,0.19956,1.49633,3.48811,1.16884,0.0082675,0.0082675,0.0082675
37,9356.47,1.57515,3.67846,1.19134,0.44638,0.34507,0.35082,0.20195,1.49502,3.46937,1.16775,0.008218,0.008218,0.008218
38,9613.47,1.56553,3.64428,1.1899,0.45373,0.34919,0.35719,0.20624,1.49035,3.45109,1.15972,0.0081685,0.0081685,0.0081685
