epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,612.048,4.70793,15.0188,4.1067,0.00684,0.01541,0.00262,0.00071,nan,nan,nan,0.0700185,0.00333127,0.00333127
2,1201.51,3.0929,9.36832,2.54795,0.05806,0.12742,0.05083,0.0218,2.41381,inf,1.88648,0.0399856,0.00663162,0.00663162
3,1784.97,2.34234,7.02,1.76708,0.27207,0.16236,0.1179,0.05774,2.11652,6.04729,1.61239,0.00991956,0.00989896,0.00989896
4,2366.95,2.07341,6.01715,1.55673,0.21753,0.21023,0.15465,0.07911,1.87222,7.30477,1.45633,0.0098515,0.0098515,0.0098515
5,2948.05,1.91826,5.35567,1.45659,0.24837,0.21224,0.17821,0.09546,1.78732,4.7755,1.38798,0.009802,0.009802,0.009802
6,3520.1,1.8185,4.90412,1.3944,0.31739,0.26284,0.23347,0.12678,1.69701,4.26568,1.32989,0.0097525,0.0097525,0.0097525
7,4083.59,1.74754,4.57867,1.35415,0.37574,0.27188,0.264,0.14828,1.60953,4.04969,1.29343,0.009703,0.009703,0.009703
8,4650.97,1.69957,4.37513,1.33132,0.39941,0.29257,0.28451,0.15892,1.59706,3.85928,1.27797,0.0096535,0.0096535,0.0096535
9,5222.9,1.66328,4.19882,1.30339,0.42573,0.31023,0.30602,0.17124,1.53217,3.71543,1.24967,0.009604,0.009604,0.009604
10,5804.3,1.63618,4.06433,1.28928,0.39381,0.32836,0.31647,0.17926,1.52235,3.68126,1.23646,0.0095545,0.0095545,0.0095545
11,6385.15,1.6004,3.90742,1.26882,0.41428,0.33923,0.32989,0.18877,1.48834,3.56548,1.21871,0.009505,0.009505,0.009505
12,6957.65,1.57171,3.81646,1.25631,0.43343,0.34116,0.33982,0.19394,1.47255,3.48005,1.21162,0.0094555,0.0094555,0.0094555
13,7537.72,1.55046,3.7163,1.24506,0.45829,0.34992,0.35287,0.20368,1.44986,3.39529,1.19584,0.009406,0.009406,0.009406
14,8118.02,1.5379,3.64733,1.23143,0.47153,0.35703,0.36869,0.21222,1.44131,3.3357,1.19079,0.0093565,0.0093565,0.0093565
15,8699.78,1.51944,3.56702,1.2204,0.48554,0.36427,0.37756,0.22033,1.41583,3.27824,1.17836,0.009307,0.009307,0.009307
16,9280.98,1.50385,3.51867,1.21698,0.47475,0.37447,0.37996,0.22107,1.41772,3.26285,1.17577,0.0092575,0.0092575,0.0092575
17,9861.52,1.49788,3.45615,1.20834,0.48047,0.37723,0.38884,0.2273,1.40389,3.19747,1.17172,0.009208,0.009208,0.009208
18,10433.3,1.48748,3.41407,1.19869,0.49184,0.38174,0.39315,0.22911,1.38814,3.20603,1.16459,0.0091585,0.0091585,0.0091585
19,11011.1,1.46633,3.33799,1.1969,0.48191,0.38748,0.39773,0.23434,1.38392,3.14888,1.1597,0.009109,0.009109,0.009109
20,11592.8,1.45251,3.29925,1.1905,0.49537,0.402,0.41138,0.24123,1.37637,3.09382,1.15643,0.0090595,0.0090595,0.0090595
21,12170,1.45315,3.2694,1.1799,0.50307,0.40633,0.4159,0.24502,1.36392,3.06494,1.1492,0.00901,0.00901,0.00901
22,12756.6,1.44078,3.22464,1.18143,0.49796,0.40988,0.41818,0.24805,1.35262,3.05449,1.14591,0.0089605,0.0089605,0.0089605
23,13354.4,1.42979,3.20362,1.18034,0.50791,0.40996,0.42253,0.25002,1.35418,3.03996,1.1445,0.008911,0.008911,0.008911
24,13948.4,1.42963,3.18546,1.17216,0.51602,0.41058,0.4239,0.25114,1.35077,3.0112,1.14214,0.0088615,0.0088615,0.0088615
25,14548,1.42148,3.13065,1.16711,0.5268,0.41198,0.42865,0.25567,1.33775,3.00078,1.13656,0.008812,0.008812,0.008812
26,15147.5,1.41576,3.11856,1.16604,0.53018,0.4164,0.43313,0.25847,1.33534,2.98206,1.13457,0.0087625,0.0087625,0.0087625
