epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1883.82,4.33812,16.0983,4.17181,0.00476,0.02215,0.00283,0.00079,nan,nan,nan,0.0700046,0.00333282,0.00333282
2,3675.96,3.01511,11.2157,2.86464,0.08344,0.13513,0.07602,0.03492,2.41792,8.02337,2.28569,0.0399716,0.00663315,0.00663315
3,5508.19,2.33523,8.49524,2.1433,0.21462,0.14644,0.0924,0.04687,nan,nan,nan,0.00990564,0.00990049,0.00990049
4,7346.14,2.06379,7.14526,1.88781,0.23983,0.20055,0.17944,0.09544,1.87116,5.53231,1.73911,0.0098515,0.0098515,0.0098515
5,9169.93,1.9062,6.24536,1.75104,0.25796,0.23731,0.20067,0.10929,1.76501,5.3021,1.64788,0.009802,0.009802,0.009802
6,10995.9,1.8119,5.66231,1.67762,0.31608,0.26191,0.2427,0.13475,1.6738,4.75695,1.58417,0.0097525,0.0097525,0.0097525
7,12823.9,1.74987,5.28909,1.62047,0.34197,0.28614,0.26946,0.15457,1.62612,4.49841,1.53642,0.009703,0.009703,0.009703
8,14639.2,1.69802,5.03686,1.58741,0.3963,0.3073,0.29648,0.17065,1.59575,4.35025,1.51401,0.0096535,0.0096535,0.0096535
9,16437,1.65308,4.76695,1.5449,0.41494,0.32844,0.32205,0.18604,1.54792,4.14611,1.48068,0.009604,0.009604,0.009604
10,18220.5,1.63134,4.67931,1.52889,0.43082,0.33215,0.32968,0.19302,1.53322,4.07728,1.46882,0.0095545,0.0095545,0.0095545
11,20033.7,1.60314,4.48436,1.50509,0.44048,0.3512,0.34552,0.2034,1.50598,3.92163,1.44152,0.009505,0.009505,0.009505
12,21841.6,1.57525,4.3311,1.48751,0.47087,0.36877,0.37148,0.21733,1.48714,3.82365,1.42913,0.0094555,0.0094555,0.0094555
13,23665.2,1.5543,4.19555,1.47425,0.46524,0.37629,0.3705,0.21913,1.47983,3.81164,1.41588,0.009406,0.009406,0.009406
14,25470.7,1.54592,4.15615,1.46021,0.49225,0.38818,0.39595,0.23661,1.45017,3.68503,1.40353,0.0093565,0.0093565,0.0093565
15,27273.4,1.52215,4.03429,1.44696,0.48894,0.407,0.41184,0.24562,1.44137,3.62191,1.3972,0.009307,0.009307,0.009307
16,29079.9,1.50576,3.93547,1.4366,0.49948,0.39576,0.40555,0.24158,1.43151,3.57669,1.38364,0.0092575,0.0092575,0.0092575
17,30894.4,1.49248,3.88851,1.42275,0.52068,0.40574,0.42018,0.25415,1.41964,3.54629,1.37395,0.009208,0.009208,0.009208
18,32712.5,1.48644,3.85741,1.41146,0.51399,0.4203,0.42266,0.25227,1.4194,3.58667,1.37845,0.0091585,0.0091585,0.0091585
19,34513.2,1.47043,3.76953,1.41513,0.52352,0.4275,0.43646,0.26208,1.41027,3.50892,1.37289,0.009109,0.009109,0.009109
20,36330.7,1.47,3.72581,1.40794,0.51637,0.4332,0.44153,0.26667,1.39701,3.41888,1.36253,0.0090595,0.0090595,0.0090595
21,38162.6,1.45577,3.67448,1.39473,0.54657,0.43354,0.44967,0.27343,1.3803,3.37122,1.34798,0.00901,0.00901,0.00901
22,39985.2,1.45118,3.66158,1.39335,0.54021,0.43027,0.45195,0.27351,1.38631,3.37722,1.35305,0.0089605,0.0089605,0.0089605
23,41816.5,1.43807,3.59992,1.38349,0.54498,0.44683,0.45968,0.27922,1.37451,3.33909,1.34427,0.008911,0.008911,0.008911
24,43646.8,1.43407,3.53719,1.37936,0.55351,0.44995,0.46496,0.28308,1.3663,3.28839,1.33704,0.0088615,0.0088615,0.0088615
25,45473.6,1.42841,3.51274,1.37474,0.55418,0.44602,0.46274,0.28052,1.36032,3.30489,1.33715,0.008812,0.008812,0.008812
26,47262,1.41922,3.46236,1.37379,0.55959,0.44924,0.46913,0.28756,1.36443,3.26099,1.33311,0.0087625,0.0087625,0.0087625
27,49066.7,1.41703,3.44091,1.36769,0.55134,0.45493,0.47201,0.28662,1.35561,3.25257,1.32828,0.008713,0.008713,0.008713
28,50912.7,1.40745,3.39739,1.36323,0.5547,0.4592,0.47891,0.29262,1.34949,3.19529,1.32276,0.0086635,0.0086635,0.0086635
29,52750.8,1.40749,3.37048,1.36318,0.56946,0.46222,0.48088,0.29583,1.3409,3.17842,1.31901,0.008614,0.008614,0.008614
30,54594.6,1.39725,3.35751,1.35674,0.57124,0.47334,0.4926,0.30262,1.33809,3.14456,1.31661,0.0085645,0.0085645,0.0085645
31,56384,1.38824,3.29167,1.34702,0.57793,0.47481,0.49763,0.30691,1.33348,3.10535,1.31368,0.008515,0.008515,0.008515
32,58229.7,1.39373,3.29247,1.34735,0.57003,0.47564,0.50252,0.30947,1.33724,3.10388,1.31684,0.0084655,0.0084655,0.0084655
33,60087.1,1.38216,3.23174,1.34302,0.57081,0.47371,0.49643,0.30676,1.33334,3.11296,1.31088,0.008416,0.008416,0.008416
34,61946.1,1.3754,3.23527,1.34436,0.59635,0.47582,0.50708,0.31327,1.32299,3.07071,1.30595,0.0083665,0.0083665,0.0083665
35,63773.3,1.37039,3.21233,1.34131,0.58029,0.48007,0.50787,0.31208,1.32373,3.04588,1.30476,0.008317,0.008317,0.008317
36,65634.4,1.3644,3.16826,1.33688,0.59064,0.48513,0.51218,0.31602,1.3221,3.02543,1.30096,0.0082675,0.0082675,0.0082675
37,67460.8,1.37343,3.19069,1.33529,0.59448,0.48287,0.51485,0.31963,1.31441,3.00907,1.29987,0.008218,0.008218,0.008218
38,69313.2,1.36085,3.13625,1.33155,0.60314,0.49133,0.51915,0.32235,1.31368,3.00637,1.29738,0.0081685,0.0081685,0.0081685
39,71132,1.35613,3.13501,1.33289,0.60231,0.49051,0.52169,0.32304,1.31011,2.98777,1.29413,0.008119,0.008119,0.008119
40,72975.1,1.35641,3.10302,1.32874,0.59533,0.50123,0.52544,0.32521,1.30311,2.94619,1.28965,0.0080695,0.0080695,0.0080695
41,74820.3,1.3518,3.08671,1.32527,0.59937,0.50032,0.52854,0.32728,1.3078,2.94607,1.29124,0.00802,0.00802,0.00802
