epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1043.63,4.24531,15.2398,4.11123,0.00724,0.01134,0.00278,0.00078,nan,nan,nan,0.0700093,0.0033323,0.0033323
2,2056.46,2.98471,10.3589,2.78172,0.07544,0.12507,0.05784,0.0254,2.39138,inf,2.21001,0.0399763,0.00663264,0.00663264
3,3021.16,2.32349,7.98174,2.0842,0.11249,0.15707,0.08428,0.042,nan,nan,nan,0.00991028,0.00989998,0.00989998
4,3996.39,2.06156,6.90035,1.83522,0.23345,0.19141,0.17101,0.09121,1.88064,5.5805,1.71127,0.0098515,0.0098515,0.0098515
5,4944.66,1.91619,6.13928,1.7098,0.29929,0.23574,0.21552,0.11965,1.7733,5.10245,1.6223,0.009802,0.009802,0.009802
6,5938.96,1.82355,5.60387,1.63636,0.22067,0.2412,0.13561,0.07085,nan,nan,nan,0.0097525,0.0097525,0.0097525
7,6932.93,1.76744,5.2042,1.58324,0.3346,0.27959,0.25457,0.14638,1.64542,4.56001,1.52301,0.009703,0.009703,0.009703
8,7907.9,1.71083,4.9197,1.54847,0.37586,0.3125,0.28944,0.16444,1.61121,4.31547,1.49214,0.0096535,0.0096535,0.0096535
9,8887.45,1.68056,4.71556,1.51418,0.39275,0.32795,0.31568,0.18101,1.57457,4.11815,1.46595,0.009604,0.009604,0.009604
10,9881.93,1.65182,4.54615,1.49459,0.4197,0.34842,0.33528,0.1951,1.54258,4.00339,1.44368,0.0095545,0.0095545,0.0095545
11,10830.7,1.62211,4.38827,1.47018,0.43823,0.35372,0.35033,0.20592,1.51785,3.91574,1.42503,0.009505,0.009505,0.009505
12,11776.1,1.59855,4.27043,1.45299,0.4622,0.36809,0.36979,0.21675,1.5069,3.79827,1.41526,0.0094555,0.0094555,0.0094555
13,12740.3,1.57797,4.18707,1.44267,0.46979,0.38151,0.37669,0.2208,1.48255,3.74504,1.39565,0.009406,0.009406,0.009406
14,13727.3,1.56377,4.07515,1.42869,0.49932,0.38829,0.39643,0.23387,1.46935,3.65972,1.38265,0.0093565,0.0093565,0.0093565
15,14697.3,1.5476,3.98079,1.41457,0.49946,0.40168,0.40458,0.23949,1.46119,3.56695,1.3809,0.009307,0.009307,0.009307
16,15682.9,1.52799,3.91893,1.40545,0.51247,0.40008,0.41433,0.24712,1.45047,3.556,1.36931,0.0092575,0.0092575,0.0092575
17,16663.5,1.52358,3.85839,1.39624,0.50474,0.40839,0.41871,0.24885,1.44269,3.53308,1.36742,0.009208,0.009208,0.009208
18,17654.6,1.50968,3.79892,1.38767,0.52035,0.41474,0.42689,0.25332,1.42932,3.4765,1.35744,0.0091585,0.0091585,0.0091585
19,18627.3,1.5013,3.74317,1.38348,0.51817,0.42325,0.43043,0.25791,1.42083,3.44044,1.34811,0.009109,0.009109,0.009109
20,19596.3,1.48939,3.6949,1.37763,0.52679,0.43281,0.4422,0.26541,1.41463,3.39399,1.34229,0.0090595,0.0090595,0.0090595
21,20556.1,1.47718,3.65164,1.36496,0.51557,0.43181,0.43719,0.26191,1.406,3.38522,1.3383,0.00901,0.00901,0.00901
22,21534.1,1.46467,3.60509,1.36666,0.53613,0.43668,0.44653,0.26972,1.3985,3.34304,1.33763,0.0089605,0.0089605,0.0089605
23,22517.4,1.47381,3.59764,1.35832,0.53914,0.44534,0.45812,0.27429,1.39691,3.30017,1.3309,0.008911,0.008911,0.008911
24,23505,1.4619,3.55075,1.35361,0.55554,0.43633,0.45842,0.27757,1.38381,3.27628,1.32295,0.0088615,0.0088615,0.0088615
25,24479.7,1.4523,3.4943,1.35101,0.53803,0.44512,0.45905,0.27864,1.37852,3.2656,1.31838,0.008812,0.008812,0.008812
26,25478.3,1.44787,3.49869,1.34702,0.55048,0.45598,0.46584,0.28079,1.38394,3.23076,1.31883,0.0087625,0.0087625,0.0087625
27,26461.1,1.43804,3.43658,1.3438,0.55937,0.45157,0.47092,0.28608,1.36883,3.22247,1.31304,0.008713,0.008713,0.008713
28,27418.5,1.433,3.39732,1.32926,0.55449,0.4627,0.47415,0.28925,1.36565,3.18995,1.30943,0.0086635,0.0086635,0.0086635
29,28379.8,1.42248,3.36146,1.33376,0.55288,0.4613,0.47618,0.28931,1.36359,3.17356,1.30864,0.008614,0.008614,0.008614
30,29376,1.42154,3.34389,1.33174,0.56369,0.46093,0.483,0.29432,1.35606,3.15218,1.30285,0.0085645,0.0085645,0.0085645
31,30341.8,1.41905,3.31774,1.32384,0.5637,0.47216,0.48941,0.29727,1.35347,3.12061,1.3021,0.008515,0.008515,0.008515
32,31320,1.40913,3.29324,1.32121,0.57472,0.46556,0.48863,0.30064,1.35249,3.11712,1.30165,0.0084655,0.0084655,0.0084655
33,32319.1,1.41355,3.2814,1.31768,0.57408,0.47765,0.49909,0.30631,1.34936,3.08529,1.2955,0.008416,0.008416,0.008416
34,33289.9,1.41003,3.26631,1.31637,0.57814,0.46456,0.49292,0.30115,1.35074,3.08371,1.29829,0.0083665,0.0083665,0.0083665
35,34253.1,1.40117,3.22636,1.3161,0.58061,0.47803,0.49908,0.30621,1.34095,3.06306,1.29216,0.008317,0.008317,0.008317
36,35234.1,1.39661,3.20663,1.30884,0.57796,0.47472,0.50093,0.30728,1.34467,3.04633,1.29233,0.0082675,0.0082675,0.0082675
37,36218.5,1.39345,3.18581,1.31172,0.58925,0.47511,0.50567,0.30981,1.3397,3.02481,1.29084,0.008218,0.008218,0.008218
38,37212.3,1.3934,3.17754,1.30832,0.59605,0.47657,0.50527,0.31121,1.33367,3.02966,1.28778,0.0081685,0.0081685,0.0081685
39,38202.7,1.37915,3.14297,1.3052,0.59417,0.48173,0.51209,0.31459,1.32947,2.99821,1.28415,0.008119,0.008119,0.008119
