epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,577.52,4.26016,15.239,4.18111,0.00218,0.017,0.00155,0.00042,nan,nan,nan,0.0700185,0.00333127,0.00333127
2,1138.92,3.1211,10.5691,2.85005,0.07446,0.1136,0.05456,0.02285,2.49766,inf,2.23645,0.0399856,0.00663162,0.00663162
3,1667.13,2.39145,8.05235,2.08447,0.32771,0.14356,0.10355,0.04703,2.19448,6.75564,1.96902,0.00991956,0.00989896,0.00989896
4,2206.52,2.1352,7.04938,1.84298,0.30566,0.16813,0.13697,0.07293,1.94862,6.0809,1.72656,0.0098515,0.0098515,0.0098515
5,2752.99,1.998,6.35403,1.72047,0.29218,0.20054,0.1662,0.08832,1.90666,5.38907,1.6605,0.009802,0.009802,0.009802
6,3305.06,1.90664,5.84345,1.64637,0.24167,0.25821,0.19919,0.10728,1.78043,5.06936,1.58994,0.0097525,0.0097525,0.0097525
7,3827.39,1.83999,5.47904,1.59465,0.29804,0.24926,0.22661,0.12557,1.72383,4.82965,1.54924,0.009703,0.009703,0.009703
8,4377.81,1.79908,5.23262,1.56829,0.31158,0.26795,0.2512,0.14052,1.6918,4.56609,1.52003,0.0096535,0.0096535,0.0096535
9,4914.15,1.76615,5.0558,1.53491,0.35278,0.30384,0.27762,0.15632,1.63804,4.37325,1.48684,0.009604,0.009604,0.009604
10,5473.17,1.73778,4.8812,1.51435,0.35104,0.31911,0.29615,0.16661,1.6282,4.27834,1.4684,0.0095545,0.0095545,0.0095545
11,6025.09,1.71037,4.69147,1.49374,0.35849,0.31117,0.2913,0.16569,1.59932,4.2583,1.45435,0.009505,0.009505,0.009505
12,6567.5,1.67918,4.60445,1.47511,0.37806,0.32451,0.30675,0.176,1.58558,4.09646,1.44272,0.0094555,0.0094555,0.0094555
13,7136.56,1.65926,4.47304,1.46074,0.40058,0.34081,0.32107,0.1841,1.56612,4.02871,1.42249,0.009406,0.009406,0.009406
14,7681.22,1.64679,4.40334,1.44367,0.41656,0.33599,0.3295,0.19173,1.55708,4.00379,1.41159,0.0093565,0.0093565,0.0093565
15,8222.27,1.62948,4.31571,1.43089,0.42448,0.36021,0.34645,0.20048,1.53649,3.87569,1.39907,0.009307,0.009307,0.009307
16,8752.57,1.61767,4.24217,1.42722,0.42015,0.36018,0.35359,0.20561,1.52901,3.83498,1.38953,0.0092575,0.0092575,0.0092575
17,9280.76,1.60864,4.17951,1.41689,0.43245,0.3666,0.35048,0.20231,1.52006,3.80191,1.3906,0.009208,0.009208,0.009208
18,9839.99,1.60147,4.13348,1.40402,0.4486,0.37248,0.36548,0.21299,1.50275,3.75954,1.37503,0.0091585,0.0091585,0.0091585
19,10367,1.58017,4.0436,1.3976,0.44113,0.37516,0.36817,0.21497,1.50323,3.71906,1.3736,0.009109,0.009109,0.009109
20,10885.4,1.56685,4.00558,1.39226,0.45188,0.38632,0.37879,0.22165,1.48871,3.66696,1.36312,0.0090595,0.0090595,0.0090595
21,11403.2,1.57042,3.97977,1.38006,0.46798,0.37784,0.37873,0.22331,1.47737,3.64596,1.356,0.00901,0.00901,0.00901
22,11943.1,1.55635,3.92198,1.37913,0.46843,0.38521,0.38465,0.22581,1.46912,3.60046,1.35331,0.0089605,0.0089605,0.0089605
