epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,195.384,4.65363,12.2999,3.18708,0.02748,0.0553,0.01714,0.00536,3.54172,inf,2.28471,0.0700371,0.00332921,0.00332921
2,369.214,2.97034,7.73572,1.67915,0.08208,0.10683,0.05788,0.02328,2.49699,10.4838,1.37498,0.0400041,0.00662957,0.00662957
3,538.979,2.42421,6.19695,1.3726,0.14069,0.12572,0.09256,0.0418,2.15223,5.53167,1.25288,0.00993812,0.00989692,0.00989692
4,707.9,2.18155,5.47841,1.26318,0.20862,0.16298,0.12408,0.06079,1.95813,4.55193,1.16646,0.0098515,0.0098515,0.0098515
5,882.923,2.04099,4.99448,1.20395,0.21956,0.17669,0.14198,0.07015,1.88272,4.31241,1.12746,0.009802,0.009802,0.009802
6,1055.06,1.93012,4.65396,1.1679,0.25459,0.19393,0.16302,0.08339,1.80427,4.15084,1.10084,0.0097525,0.0097525,0.0097525
7,1227.6,1.86284,4.45404,1.14419,0.25973,0.21115,0.17498,0.08911,1.75417,3.97778,1.09596,0.009703,0.009703,0.009703
8,1397.85,1.80129,4.26699,1.12424,0.30874,0.2151,0.19356,0.10306,1.6627,3.72278,1.06894,0.0096535,0.0096535,0.0096535
9,1570.85,1.76585,4.13909,1.10749,0.32055,0.22355,0.20669,0.10887,1.63515,3.66427,1.05821,0.009604,0.009604,0.009604
10,1739.71,1.73726,4.04271,1.09891,0.30411,0.22539,0.20994,0.11023,1.63498,3.66847,1.05027,0.0095545,0.0095545,0.0095545
11,1908.65,1.70343,3.94362,1.09086,0.321,0.22715,0.21561,0.11677,1.60369,3.63075,1.04356,0.009505,0.009505,0.009505
12,2077.62,1.6808,3.86262,1.077,0.33799,0.2448,0.22738,0.12104,1.58763,3.55408,1.04104,0.0094555,0.0094555,0.0094555
13,2246.15,1.66686,3.81456,1.07828,0.33273,0.24138,0.22701,0.12438,1.56476,3.48788,1.03087,0.009406,0.009406,0.009406
14,2421.21,1.63712,3.71375,1.06352,0.35304,0.2482,0.24093,0.131,1.53774,3.39346,1.02663,0.0093565,0.0093565,0.0093565
15,2591.62,1.62945,3.68055,1.05999,0.36188,0.26373,0.25082,0.13861,1.52558,3.32898,1.01798,0.009307,0.009307,0.009307
16,2765.4,1.60259,3.62998,1.05699,0.35665,0.27198,0.25694,0.14075,1.50403,3.30043,1.01429,0.0092575,0.0092575,0.0092575
17,2934.07,1.59177,3.57221,1.0491,0.35619,0.26647,0.25441,0.14002,1.50558,3.27685,1.01551,0.009208,0.009208,0.009208
18,3106.65,1.58636,3.55486,1.04468,0.39595,0.26564,0.26205,0.14417,1.48911,3.23679,1.00937,0.0091585,0.0091585,0.0091585
19,3276.26,1.56428,3.48772,1.04179,0.38473,0.26901,0.26435,0.14629,1.47764,3.20747,1.00693,0.009109,0.009109,0.009109
20,3444.36,1.55416,3.43807,1.04108,0.37726,0.27652,0.26628,0.14705,1.46672,3.18568,1.00014,0.0090595,0.0090595,0.0090595
21,3622.03,1.54512,3.42344,1.03546,0.37062,0.28667,0.27289,0.15099,1.4596,3.16779,1.00063,0.00901,0.00901,0.00901
22,3797.63,1.54639,3.40633,1.03822,0.39679,0.28644,0.28085,0.15549,1.44899,3.14938,0.99698,0.0089605,0.0089605,0.0089605
23,3973.47,1.53115,3.37434,1.03324,0.37773,0.28728,0.27719,0.15478,1.43551,3.10217,0.99166,0.008911,0.008911,0.008911
24,4151.18,1.52696,3.35183,1.03014,0.39559,0.28929,0.28055,0.15675,1.43783,3.11403,0.99379,0.0088615,0.0088615,0.0088615
25,4327.44,1.51931,3.3203,1.02631,0.40669,0.29636,0.28886,0.16045,1.43896,3.09537,0.99297,0.008812,0.008812,0.008812
26,4503.59,1.50913,3.29419,1.02612,0.40862,0.2978,0.28457,0.16001,1.42174,3.09739,0.98779,0.0087625,0.0087625,0.0087625
27,4681,1.50147,3.27209,1.02209,0.40102,0.29707,0.29439,0.1642,1.41691,3.04321,0.9871,0.008713,0.008713,0.008713
28,4856.63,1.50207,3.24676,1.01924,0.4138,0.29271,0.29352,0.16562,1.40984,3.01824,0.9842,0.0086635,0.0086635,0.0086635
29,5035.36,1.49613,3.25058,1.01832,0.39231,0.3029,0.29267,0.16536,1.39819,3.016,0.98202,0.008614,0.008614,0.008614
30,5214.39,1.47751,3.19236,1.01394,0.39541,0.30875,0.29597,0.16589,1.39869,3.00576,0.98113,0.0085645,0.0085645,0.0085645
31,5392.84,1.48869,3.21792,1.01757,0.39659,0.30987,0.30085,0.17014,1.39651,2.99094,0.98203,0.008515,0.008515,0.008515
32,5570.95,1.47538,3.17855,1.00851,0.41581,0.30784,0.3047,0.1713,1.38586,2.96648,0.97748,0.0084655,0.0084655,0.0084655
33,5747.52,1.47266,3.16185,1.01239,0.40693,0.31027,0.30502,0.17421,1.38066,2.94994,0.97715,0.008416,0.008416,0.008416
34,5925.37,1.47292,3.15755,1.01186,0.40822,0.31384,0.30569,0.17307,1.38033,2.94125,0.97568,0.0083665,0.0083665,0.0083665
35,6102.54,1.46087,3.13027,1.00899,0.41917,0.30951,0.30745,0.17368,1.37966,2.93643,0.97656,0.008317,0.008317,0.008317
36,6279.35,1.45325,3.10891,1.0075,0.42681,0.31097,0.30865,0.17354,1.37461,2.92564,0.97497,0.0082675,0.0082675,0.0082675
37,6458.38,1.45122,3.10435,1.00459,0.425,0.31408,0.31172,0.17675,1.36674,2.90981,0.97456,0.008218,0.008218,0.008218
38,6634.83,1.44434,3.0732,1.00491,0.43048,0.3199,0.31488,0.17847,1.3648,2.88557,0.96961,0.0081685,0.0081685,0.0081685
39,6813.27,1.4495,3.08858,1.00633,0.43102,0.3182,0.31762,0.17989,1.36025,2.87711,0.97019,0.008119,0.008119,0.008119
40,6987.78,1.43432,3.05236,0.99992,0.4278,0.3196,0.31816,0.1809,1.35763,2.86686,0.96946,0.0080695,0.0080695,0.0080695
41,7165.59,1.43946,3.03871,1.00036,0.43099,0.32321,0.32198,0.18388,1.3521,2.86238,0.96754,0.00802,0.00802,0.00802
42,7342.59,1.42934,3.02328,0.99877,0.43289,0.32283,0.3229,0.18576,1.34611,2.84631,0.96537,0.0079705,0.0079705,0.0079705
43,7520.54,1.43041,3.02478,1.00079,0.42937,0.32621,0.32111,0.18324,1.34626,2.8557,0.96509,0.007921,0.007921,0.007921
44,7698.5,1.43471,3.02752,1.00035,0.43976,0.31841,0.32417,0.18609,1.34197,2.83339,0.9642,0.0078715,0.0078715,0.0078715
45,7874.24,1.42987,3.00691,0.99922,0.44789,0.32612,0.32882,0.18699,1.3393,2.8212,0.96434,0.007822,0.007822,0.007822
46,8052.88,1.42499,2.98552,0.99845,0.45925,0.32382,0.32968,0.18773,1.34062,2.81979,0.96404,0.0077725,0.0077725,0.0077725
47,8229.5,1.41661,2.98088,0.99562,0.44427,0.32488,0.32805,0.18671,1.33325,2.827,0.96139,0.007723,0.007723,0.007723
48,8406.49,1.41781,2.98201,0.99686,0.45068,0.33109,0.3317,0.18836,1.33187,2.80027,0.96295,0.0076735,0.0076735,0.0076735
49,8582.56,1.40499,2.94191,0.99089,0.45386,0.3326,0.33435,0.19231,1.33009,2.78764,0.96163,0.007624,0.007624,0.007624
